File,channel,HR,HRV_MeanNN,HRV_SDNN,HRV_SDANN1,HRV_SDNNI1,HRV_SDANN2,HRV_SDNNI2,HRV_SDANN5,HRV_SDNNI5,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_SDRMSSD,HRV_Prc20NN,HRV_Prc80NN,HRV_pNN50,HRV_pNN20,HRV_MinNN,HRV_MaxNN,HRV_HTI,HRV_TINN,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_TP,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,HRV_S,HRV_CSI,HRV_CVI,HRV_CSI_Modified,HRV_PIP,HRV_IALS,HRV_PSS,HRV_PAS,HRV_GI,HRV_SI,HRV_AI,HRV_PI,HRV_C1d,HRV_C1a,HRV_SD1d,HRV_SD1a,HRV_C2d,HRV_C2a,HRV_SD2d,HRV_SD2a,HRV_Cd,HRV_Ca,HRV_SDNNd,HRV_SDNNa,HRV_DFA_alpha1,HRV_MFDFA_alpha1_Width,HRV_MFDFA_alpha1_Peak,HRV_MFDFA_alpha1_Mean,HRV_MFDFA_alpha1_Max,HRV_MFDFA_alpha1_Delta,HRV_MFDFA_alpha1_Asymmetry,HRV_MFDFA_alpha1_Fluctuation,HRV_MFDFA_alpha1_Increment,HRV_ApEn,HRV_SampEn,HRV_ShanEn,HRV_FuzzyEn,HRV_MSEn,HRV_CMSEn,HRV_RCMSEn,HRV_CD,HRV_HFD,HRV_KFD,HRV_LZC
end1.csv,ppg,88.07762902823451,681.2686011904761,17.52306940000719,,,,,,,16.326947250283936,16.4193743595408,0.025721234428515677,0.023965506735160805,683.59375,28.95703125,0.04236,19.53125,1.0732606121271355,664.0625,703.125,0.0,4.761904761904762,644.53125,742.1875,2.5454545454545454,39.0625,,,0.0038058961501472015,0.013609598979281037,0.0021931656122402598,0.019608660741668497,0.27964792760912477,0.19409261041778617,0.6940606071255327,-4.296979927904887,11.610250952471826,21.846224524146066,0.5314534298427317,796.8340290346168,1.8816324137675076,3.6083379824487074,164.42625673230353,0.7619047619047619,0.9565217391304348,1.0,0.6153846153846154,48.0,48.005319001697906,47.99554900358633,52.17391304347826,0.4827586206896551,0.517241379310345,8.070252642005247,8.353505105159195,0.4948432602989764,0.5051567397010237,15.367747725284065,15.527068487368373,0.49218003675570254,0.5078199632442973,12.273887889616848,12.467375492727983,0.48645873101598663,0.23122369019375177,0.38635097494577675,0.39108586395699,1.0,0.6172556265624356,-0.4795224745040367,2.7877110801482187e-05,0.004268944896131702,0.8142157418336935,0.9354606479818754,1.816066174880068,1.00178318165863,0.971031958308405,0.8122471550638748,0.766239084432574,0.30746165944490067,1.9469382930015748,2.7524344927597744,0.9131882032541088
high1.csv,ppg,88.127242416815,680.8810763888889,12.824499103597265,,,,,,,16.390260904232207,16.50691903766634,0.018835152787052174,0.024072134580622153,683.59375,0.0,0.0,19.53125,0.7824463062870336,664.0625,683.59375,0.0,4.166666666666666,664.0625,703.125,1.8,15.625,,,0.004692274585406332,0.023396396840549075,0.0037086489523884417,0.031797320378343846,0.20055543669331144,0.1475682393854198,0.7357977515766903,-3.7551732496479158,11.672154388031188,14.04215934040991,0.8312221863514663,514.9141100442047,1.2030477728095306,3.4187049027996608,67.57355407966675,0.7222222222222222,0.9756097560975611,1.0,0.5,50.0,50.000925988291335,49.99907158098494,48.78048780487805,0.48,0.5199999999999999,8.086705773543214,8.41691022823569,0.5143668550814424,0.4856331449185577,10.070948720067884,9.785613461568177,0.5003242289834774,0.49967577101652266,9.132875187751504,9.126954821006919,0.38662243241476124,0.13999973324000758,0.27593706187814115,0.34593692849814495,1.0783299586056945,-0.1297303406543504,0.0,7.582502712793392e-07,0.0008209677206849159,0.8177985800484247,0.8993742582074541,1.4036814253470522,0.9211396697338782,0.8874321000441757,0.7861786057995537,0.6942681087459143,-2.2973275492927923e-19,2.0262556102209537,8.908603546896304,1.0283208335737186
high2.csv,ppg,88.91592616666502,674.9441964285714,12.72118161340016,,,,,,,14.494301533618781,14.600488312429727,0.018847753163466794,0.021474814674034604,683.59375,28.95703125,0.04236,19.53125,0.8776677912967409,664.0625,683.59375,0.0,1.4285714285714286,644.53125,703.125,2.121212121212121,39.0625,,,0.013803052776756693,0.08258981646664218,0.006958438553560224,0.1033513077969591,0.1671277812117637,0.1335546987356344,0.7991172847942638,-2.4938688933844992,10.324104294353992,14.774853465664744,0.6987618739059687,479.2095210804923,1.4311026936975793,3.387495548123601,84.57733037479932,0.7142857142857143,0.9142857142857143,1.0,0.6666666666666666,50.0,49.99887946546161,50.0011460283818,51.42857142857142,0.5263157894736841,0.47368421052631576,7.489892469212601,7.105535889736318,0.48229293174641735,0.5177070682535827,10.26073876833778,10.630782419925424,0.4967358663010837,0.5032641336989164,8.982796036659119,9.041630802574455,0.49380946698111355,0.18800407064730834,0.3058053963338052,0.39980743165745936,1.0007539857686367,-0.44213511877965517,0.0,1.1108528303823493e-05,0.002240594040524294,0.7466980197928244,0.836628904037636,1.414353137504651,1.046581470227794,0.6883878790549243,0.7045951967858473,0.6804142499421009,-8.10831147304352e-17,1.973138692043105,3.15099874807294,0.9631730455199232
high3.csv,ppg,89.64783593377838,669.2940848214286,10.85287845534714,,,,,,,16.656305965282066,16.80982355124747,0.01621541068638422,0.024886378563656456,664.0625,0.0,0.0,19.53125,0.6515777554740273,664.0625,683.59375,0.0,5.357142857142857,644.53125,683.59375,1.6,23.4375,,,0.002528034904946328,0.07707312432829946,0.019555445748470575,0.09915660498171636,0.032800472628797955,0.025495375778673307,0.7772868417843783,-2.5630006411752007,11.886340223636417,9.880037898949588,1.203066257964469,368.94076177555115,0.8312094145936338,3.2739267501065594,32.849522072595214,0.7142857142857143,0.9677419354838709,1.0,0.6666666666666666,50.0,49.99871628666837,50.00125950750747,51.61290322580645,0.5249999999999999,0.475,8.612471715705047,8.192094656326768,0.4584330143540671,0.541566985645933,6.689544599584112,7.270841900004096,0.4978005865102639,0.502199413489736,7.711182659088176,7.745177751125946,0.24493471130652542,0.07392680157937165,0.17660455333695668,0.2135679541266425,1.0111932872196059,-0.09821023063573575,0.0,1.9460454924756487e-06,0.0003407048622792559,0.6970149738720894,0.76865473306809,1.1763112948933376,1.0248186986813599,0.6554067652697217,0.5568696026694067,0.5374505761230592,-2.9783923982134994e-16,2.0280477876143013,8.331727587380014,1.1407304311184578
high4.csv,ppg,89.94091894637225,667.1589176829268,16.08525688430357,,,,,,,15.497891554997505,15.592564955729072,0.024110083007161765,0.023229685078365415,664.0625,0.0,0.0,19.53125,1.0378996928209023,664.0625,683.59375,0.0,3.6585365853658534,625.0,703.125,1.9069767441860466,39.0625,,,0.012348534223864619,0.02577324446592896,0.005158650391648826,0.043280429081442404,0.47912222460733694,0.28531450556157656,0.5954941994089402,-3.658418361352961,11.025608416287746,19.89409061275719,0.5542152506944709,689.0909218187405,1.8043530897912485,3.5452466384572414,143.58385546286203,0.6829268292682927,0.9523809523809523,1.0,0.38461538461538464,51.11111111111111,51.128251515146616,51.093693134911234,52.38095238095239,0.5686274509803922,0.4313725490196078,8.315130061487501,7.242381335054358,0.47021419009370824,0.529785809906292,13.641808768099127,14.48018973781792,0.4933435739887351,0.5066564260112647,11.296909630621096,11.448318266137415,0.6107115709981551,0.3307772201611171,0.3427717089669575,0.5081603190475161,1.1264920143739756,-0.2571378197116907,0.0,2.2119230190265106e-05,0.006038355798457499,0.7078364567502389,0.780539002674955,1.7406300492620097,0.9418033997618327,0.9727843616722017,0.6770792493143527,0.6110882024723321,0.22214299092735756,1.8419172634320966,2.605818240914507,0.7753112200753761
high5.csv,ppg,89.07848582114931,673.6905809859155,13.153120550487971,,,,,,,19.391239234256755,19.529228026807566,0.019523978695440536,0.02878359855629651,664.0625,28.95703125,0.043605882352941175,19.53125,0.678302216356113,664.0625,683.59375,0.0,8.450704225352112,644.53125,703.125,2.088235294117647,23.4375,,,0.0021246779194359355,0.04660531369697373,0.012545527356845826,0.06127551897325549,0.045588748382867327,0.03467417257393249,0.7605861929511398,-3.0660407165191614,13.809249569094007,12.102355124822612,1.1410382050986472,525.0369201413444,0.8763948442143058,3.427159953653248,42.42576653698047,0.9154929577464789,0.9607843137254901,1.0,0.6,49.122807017543856,49.09688100965048,49.14810490633273,49.01960784313725,0.463768115942029,0.5362318840579711,9.405144772325718,10.113264314396426,0.5188749374109309,0.48112506258906906,8.717686346345577,8.39457827017296,0.4877043146571194,0.5122956853428806,9.06793260400809,9.293736047115399,0.32844436463633203,0.19627477751152922,0.26828097118988126,0.2574641924238603,1.0038788464105548,0.49220187143030025,-0.5551103860779338,1.7058066854202497e-05,0.0028797277627611298,0.7214654334488735,0.7701082216960738,1.4605169508718572,0.9477332925084672,0.7766260037923501,0.6660316060263554,0.6641647284982959,-1.4018987760402074e-16,2.0729880043906883,4.7279513263340665,0.9527777227401621
high6.csv,ppg,89.02732182693784,674.21875,27.688920156373385,,,,,,,16.26939702802818,16.358871930187743,0.041068155040739206,0.024130739508547012,683.59375,28.95703125,0.04236,48.828125,1.7019020501295878,644.53125,703.125,0.0,4.0,605.46875,703.125,2.380952380952381,78.125,,,,0.007461669430648327,0.001407260637724446,0.008868930068372773,,,0.8413268988620356,-4.897976105533219,11.567469274398018,36.908395942803644,0.3134102411907562,1341.2613134773524,3.190706200922621,3.834483508205184,471.05539120324346,0.76,0.9285714285714286,1.0,0.5,56.66666666666668,56.72430728923054,56.60508427575384,39.285714285714285,0.4999999999999999,0.4999999999999999,8.218998159474348,8.218998159474348,0.5802209203719589,0.4197790796280411,28.11394965334981,23.91308273643689,0.5729826159233191,0.4270173840766808,20.711664537845945,17.87998121790287,0.9964928459702113,0.9134866366887846,1.3514770053527116,0.8947336870083193,1.7495091916451546,0.38722065067119704,-1.0,0.0004224968235320462,0.06327279220369848,0.6430793378879218,0.8129483803725658,2.1214797952746145,0.9459140717045659,0.46064194938843095,0.6453412831326816,0.63970824763428,0.45101564384785675,1.7641472933251765,2.073517221362398,0.5643856189774724
high7.csv,ppg,89.08036897914684,673.5777243589744,13.25929453738788,,,,,,,17.525907741603795,17.640832958193375,0.019684876826956223,0.026019132028575805,664.0625,14.478515625,0.021802941176470587,19.53125,0.7565539390528894,664.0625,683.59375,0.0,7.6923076923076925,644.53125,703.125,2.0,23.4375,,,0.01223338328047567,0.07425705968863655,0.03101063670921362,0.11750107967832585,0.16474370695218526,0.104112943591379,0.6319691690657201,-2.600222425837506,12.473952610517678,14.07946298461561,0.8859679253496923,551.7470919839006,1.128709032672147,3.4487101628264334,63.56646818363514,0.717948717948718,0.9090909090909091,1.0,0.5,50.0,50.00322449718257,49.99669672128096,45.45454545454545,0.435483870967742,0.5645161290322581,8.231711234604733,9.372215526732354,0.5766238036872696,0.4233761963127304,10.691345728801444,9.161135543282839,0.5145565561925179,0.4854434438074821,9.541120042811501,9.267276523389253,0.3672364985527264,0.25851354660961934,0.35332739211034125,0.31415236944387315,0.9967133705373257,0.4733824466967742,-0.6515395350852782,3.4678074692170996e-05,0.0051650965677818355,0.748831002119037,0.8891888020963638,1.46392401201326,1.1170463756183409,1.195471285470168,0.7251068548135757,0.6764123907921323,-3.5959930507864395e-16,1.9852389869251974,3.861402023285676,1.208731195935048
low1.csv,ppg,85.29519432871446,703.4866898148148,16.750249269754278,,,,,,,17.386683537861806,17.55306707564291,0.023810328627772045,0.024715014213614564,703.125,28.95703125,0.041183333333333336,39.0625,0.9633953038414941,683.59375,722.65625,0.0,3.7037037037037033,664.0625,742.1875,2.25,39.0625,,,0.0026268030361215216,0.04946799061334973,0.007355057443868262,0.05944985109333951,0.05310106603385335,0.0441851911789871,0.8320961230951157,-3.0064294728543106,12.411892759809424,20.441934336648988,0.6071779977082191,797.0946169201125,1.646963499623635,3.6084799861475774,134.66847885665587,0.7037037037037037,0.8055555555555556,0.9655172413793104,0.6,50.0,49.99991966867691,50.00002731469435,50.0,0.4999999999999999,0.4999999999999999,8.776533537821456,8.776533537821456,0.5168930109307719,0.48310698906922805,14.696784255513643,14.208350079117453,0.5123426911907067,0.4876573088092932,12.10419366157074,11.808995573529142,0.4961365783837012,0.20462163299680536,0.43614647387038774,0.4334107380110358,1.0038027079347285,0.445941347801875,-0.5133697293843542,2.535507683137697e-05,0.003580160363563618,0.8335811338473835,1.1451323043030028,1.8021507380533133,1.1397621109379277,0.0,0.6553736568109293,0.5988932427411477,0.17809284187113888,1.9782631325359052,3.870234982492572,0.9591479170272448
low2.csv,ppg,84.89580231624488,706.7664194915254,11.16377148523995,,,,,,,14.046776410704613,14.169458009961165,0.015795560141739037,0.019874708281712644,703.125,0.0,0.0,19.53125,0.7947568295265515,703.125,722.65625,0.0,1.694915254237288,683.59375,722.65625,1.5526315789473684,23.4375,,,0.008783599326034014,0.08878845825714576,0.011549922195526944,0.10912197977870672,0.09892726485457476,0.08049340145630296,0.8136624577120375,-2.4214986120131323,10.019319844581583,12.360117716769427,0.8106168625714626,389.05474852102986,1.233628420740929,3.2969808303299826,60.99116999644097,0.6949152542372882,0.9629629629629629,1.0,0.5,50.000000000000014,50.001385441292825,49.99863085080338,48.148148148148145,0.46666666666666673,0.5333333333333334,6.844498477055297,7.317076652981984,0.5234790082300239,0.4765209917699761,8.942773731072629,8.532251049238763,0.5009508691415459,0.49904913085845415,7.963050967046957,7.947921700446288,0.5029120375058125,0.25005166717296534,0.313908495887397,0.43893432947387967,1.1412801464427336,-0.1688742082834307,0.0,3.3287633567727645e-06,0.002838150680076003,0.7208346105919574,0.7745875125001198,1.2211026089331454,0.9554189086809878,0.8219496987912711,0.5277587031251522,0.47367854408003646,-4.889038899578979e-16,1.9473513674691674,5.5757049489647015,0.8973523295636707
