,Subject,File,LA-RA_PTT_avg,LA-RA_PTT_std,LL-LA_PTT_avg,LL-LA_PTT_std,LL-RA_PTT_avg,LL-RA_PTT_std,Vx-RL_PTT_avg,Vx-RL_PTT_std
0,1_1_021_V1,start1.csv,324.4867375,2.7921934242802164,329.39425,2.9313636012101876,327.51417499999997,2.9068859359071793,348.2391688311688,43.71074242726752
1,1_1_021_V1,low1.csv,322.41243396226423,2.39499521021646,327.35071698113205,2.468977378847114,325.4710566037736,2.2795219907318085,346.7712452830188,34.697877899824896
2,1_1_021_V1,low2.csv,322.6835178571429,2.440293183433028,326.9386607142857,2.4948538912041687,325.5783392857143,2.501324522533611,347.9695892857143,32.3273906053237
3,1_1_021_V1,low3.csv,317.9081346153846,26.967137443298,322.3026730769231,27.023929674045124,320.537326923077,27.06232390436305,337.8149423076924,50.16783636547251
4,1_1_021_V1,low4.csv,320.3120181818182,3.392972199285463,324.50227272727284,3.521987881113542,322.9398363636364,3.335862869230992,351.10030909090915,17.6114763997
5,1_1_021_V1,low5.csv,318.5790422535212,3.187293467207258,322.70523943661976,3.330035733280293,321.1922676056339,3.224865093620081,347.2431690140846,22.868720774428077
6,1_1_021_V1,low6.csv,316.609375,2.82573476893622,321.1257708333333,2.9520670176419377,319.70170833333333,2.987474525402791,339.3957291666666,35.523288546470695
7,1_1_021_V1,mid1.csv,315.7432857142857,2.6940613374227285,320.55614285714285,2.8604351344093284,318.81237500000003,2.736965470073576,342.3028333333334,22.459131147857583
8,1_1_021_V1,mid2.csv,317.5261029411764,28.66256806674132,318.9817246376812,14.91710592621876,320.4845294117647,28.52011631415033,341.91142647058825,44.962940915863335
9,1_1_021_V1,mid3.csv,311.8020238095238,3.405057005942595,316.3362261904762,3.2659658469009774,314.6853095238095,3.306980718967621,344.2078024691358,23.032673840813146
10,1_1_021_V1,mid4.csv,309.0138615384616,3.204681507645295,313.1306461538461,3.2522352381129576,311.5379076923076,3.1796085715701423,338.5812461538461,16.027135744903454
11,1_1_021_V1,mid5.csv,307.3595789473684,2.551273682234433,311.12894736842105,2.5074526069653253,309.86101754385965,2.5213867006924944,328.09017543859653,33.74889143137022
12,1_1_021_V1,high1.csv,304.87178378378377,3.9477272259551976,309.6225945945946,3.8427812982157437,307.77500000000003,4.023298253651827,335.6202837837838,15.254448175833712
13,1_1_021_V1,high2.csv,303.3666619718311,1.9877525913981973,308.4005492957746,2.2982780742818774,306.47495774647894,2.192640844154393,336.23953521126765,10.635488838803292
14,1_1_021_V1,high3.csv,307.03792592592595,2.641348812646407,311.08896296296297,3.0402825828882065,309.49742592592594,2.9529516595725416,337.70922222222225,12.642464449545608
15,1_1_021_V1,high4.csv,304.2288888888889,2.6976443816553384,308.76193827160495,2.7655765560814944,306.92939506172837,2.694968996725002,341.3513417721519,24.32696098429257
16,1_1_021_V1,high5.csv,308.047455882353,16.021576185985815,311.5371014492753,30.685231652529815,310.804794117647,16.1785830348778,334.47214705882357,24.783293103754573
17,1_1_021_V1,high6.csv,303.57097959183676,2.3007350155609996,308.1945510204082,2.5566621021440725,306.44075510204084,2.6246045574299672,340.70623255813956,6.624082781042424
18,1_1_021_V1,high7.csv,299.36501250000003,2.846666851309399,304.27198749999997,2.6688721938946087,302.34338749999995,2.936067640117271,333.69102499999997,7.970161450646725
19,1_1_021_V1,end1.csv,297.04819999999995,2.48171895266164,302.0612666666666,2.5240700853097544,300.28178888888885,2.3931311868876586,330.6044382022472,8.075617567722832
